번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명
1081,대규모점포,08_25_01_P,5380000,2.00454E+18,20040616,,1,영업/정상,1,정상영업,,,,,02   3805231,10936,,경상남도 양산시 중부동 705호,경상남도 양산시 양산역6길 12 (중부동),626050,(주)이마트 양산점,2.02005E+13,U,40:00.0,대형마트,384162.8593,206040.9775,대규모점포
1082,대규모점포,08_25_01_P,5380000,2.00454E+18,20041224,,1,영업/정상,1,정상영업,,,,,055 379 2500,0,,경상남도 양산시 삼호동 7B-1L호,,,롯데쇼핑(주)롯데마트 웅상점,2.01203E+13,I,59:59.0,대형마트,,,
1083,대규모점포,08_25_01_P,5310000,1.89553E+18,19880407,,1,영업/정상,1,정상영업,,,,,055-741-2151,12487,,경상남도 진주시 대안동 8번지 600호,경상남도 진주시 진양호로547번길 8-1 (대안동),660140,진주중앙시장,2.02104E+13,U,40:00.0,그 밖의 대규모점포,298731.1718,188837.7041,대규모점포
1084,대규모점포,08_25_01_P,5310000,1.94553E+18,19880407,,1,영업/정상,1,정상영업,,,,,05917521 805,260,,경상남도 진주시 칠암동 306번지 1호,경상남도 진주시 진주대로 952-1 (칠암동),660988,천전시장,2.01307E+13,I,59:59.0,그 밖의 대규모점포,299074.699,187857.939,준대규모점포
1085,대규모점포,08_25_01_P,5310000,1.95553E+18,19880407,,1,영업/정상,1,정상영업,,,,,0591 7413176,540,660040,경상남도 진주시 봉곡동 31번지 1호,경상남도 진주시 촉석로 129 (봉곡동),660040,서부시장,2.01307E+13,I,59:59.0,그 밖의 대규모점포,297947.4792,188815.6782,준대규모점포
1086,대규모점포,08_25_01_P,5310000,1.97953E+18,19790824,,1,영업/정상,1,정상영업,,,,,0591 7523095,510,,경상남도 진주시 상대동 276번지 17  호,경상남도 진주시 도동천로 93 (상대동),660806,자유시장,2.01307E+13,I,59:59.0,그 밖의 대규모점포,301039.7542,187332.4903,준대규모점포
1087,대규모점포,08_25_01_P,5310000,1.98053E+18,19800731,,1,영업/정상,1,정상영업,,,,,0591 7463377,0,,경상남도 진주시 상대동 193번지 1   호,경상남도 진주시 대신로299번길 7 (상대동),660803,동부종합상가,2.01111E+13,I,59:59.0,그 밖의 대규모점포,301592.5191,188108.2378,준대규모점포
1088,대규모점포,08_25_01_P,5310000,1.98153E+18,19811224,,1,영업/정상,1,정상영업,,,,,0591 7526652,0,,경상남도 진주시 하대동 70번지 2   호,경상남도 진주시 상대로69번길 8 (하대동),,공단종합시장,2.01111E+13,I,59:59.0,그 밖의 대규모점포,301952.9644,187911.2269,준대규모점포
1089,대규모점포,08_25_01_P,5310000,1.98853E+18,19880528,,1,영업/정상,1,정상영업,,,,,(055)741-7014,5678.49,,경상남도 진주시 대안동 21호,경상남도 진주시 진주대로 지하 1035 (대안동),660140,진주중앙지하도상가,2.01909E+13,U,40:00.0,그 밖의 대규모점포,298649.3675,188906.2826,대규모점포
1090,대규모점포,08_25_01_P,5310000,1.99053E+18,19900425,,1,영업/정상,1,정상영업,,,,,0591 7620150,150,660290,경상남도 진주시 주약동 156번지,경상남도 진주시 진주대로 859-1 (주약동),660773,한주럭키상가,2.01111E+13,I,59:59.0,그 밖의 대규모점포,299297.3346,186900.6082,준대규모점포
1091,대규모점포,08_25_01_P,5310000,1.99253E+18,19920909,,1,영업/정상,1,정상영업,,,,,0591 7620150,103.78,,경상남도 진주시 상봉동 1096호,경상남도 진주시 진주대로1208번길 20 (상봉동),660901,상봉한주타운상가,2.01111E+13,I,59:59.0,그 밖의 대규모점포,297481.9799,189052.2451,준대규모점포
1092,대규모점포,08_25_01_P,5310000,1.99353E+18,19930501,,1,영업/정상,1,정상영업,,,,,0591 7420343,13322.2,,경상남도 진주시 이현동 21번지 3   호,경상남도 진주시 신안로 165 (이현동),660982,이현종합시장,2.01505E+13,I,59:59.0,그 밖의 대규모점포,297025.7189,188606.4347,준대규모점포
1093,대규모점포,08_25_01_P,5310000,1.99453E+18,19940730,,1,영업/정상,1,정상영업,,,,,0591 7611789,9952,,경상남도 진주시 강남동 219호,경상남도 진주시 진주대로 901 (강남동),660250,진주동성상가,2.02207E+13,U,40:00.0,그 밖의 대규모점포,299152.2672,187400.956,대규모점포
1094,대규모점포,08_25_01_P,5380000,2.00454E+18,20041224,,1,영업/정상,1,정상영업,,,,,055-379-2500,8595.08,626270,경상남도 양산시 삼호동 7B-1L외18필지,경상남도 양산시 삼호1길 34 (삼호동),626270,롯데쇼핑(주) 롯데마트 웅상점,2.02205E+13,U,40:00.0,대형마트,396837.5657,215031.8503,대규모점포
1095,대규모점포,08_25_01_P,5380000,2.01254E+18,20120417,,1,영업/정상,1,정상영업,,,,,553887770,2636.7,626240,경상남도 양산시 덕계동 732번지,경상남도 양산시 덕계로 60 (덕계동),626240,(주)메가마트 덕계점,2.02207E+13,U,40:00.0,구분없음,395434.3248,210384.5714,준대규모점포
1096,대규모점포,08_25_01_P,5380000,2.01254E+18,20120418,,1,영업/정상,1,정상영업,,,,,055-388-8545,360,,경상남도 양산시 삼호동 861번지 웅상신도시푸르지오 116(주상가)동 101호,"경상남도 양산시 삼호로 74, 116동 101호 (삼호동, 웅상신도시푸르지오아파트주상가)",50533,홈플러스(주) 익스프레스 삼호점,2.02106E+13,U,40:00.0,전문점,397307.1334,213959.8975,준대규모점포
1097,대규모점포,08_25_01_P,5380000,2.01254E+18,20120313,,1,영업/정상,1,정상영업,,,,,055)911-7003,16634.8,626050,경상남도 양산시 중부동 685번지 2호,경상남도 중부로 2 (모다아울렛),626050,(주)모다이노칩 양산점,2.02105E+13,U,40:00.0,전문점,384263.9025,206290.2912,대규모점포
1098,대규모점포,08_25_01_P,5380000,2.01254E+18,20120418,,1,영업/정상,1,정상영업,,,,,055-384-4991,897.23,626800,경상남도 양산시 북부동 228번지 8호,경상남도 양산시 북안북7길 28 (북부동),626800,(주)서원유통 탑마트 양산북부점,2.02207E+13,U,40:00.0,대형마트,385593.085,207449.1768,준대규모점포
1099,대규모점포,08_25_01_P,5380000,2.01254E+18,20120418,,1,영업/정상,1,정상영업,,,,,055-363-4477,1334.88,626110,경상남도 양산시 북정동 903번지 3호,경상남도 양산시 삼성5길 11-12 (북정동),626110,(주)서원유통 탑마트 양산북정점,2.02207E+13,U,40:00.0,대형마트,385482.4407,208270.2484,준대규모점포
1100,대규모점포,08_25_01_P,5380000,2.01354E+18,20130419,,1,영업/정상,1,정상영업,,,,,055 371 8050,8027.66,,경상남도 양산시 평산동 96번지,경상남도 양산시 평산로 16 (평산동),50548,트레이더스 양산점,2.02005E+13,U,40:00.0,대형마트,395549.5982,211323.658,대규모점포
1101,대규모점포,08_25_01_P,5380000,2.01554E+18,20150212,,1,영업/정상,1,정상영업,,,,,055-380-4800,3599.19,,,경상남도 양산시 동면 수질정화공원로 40,626821,박스스토어,2.01502E+13,I,59:59.0,그 밖의 대규모점포,384040.051,202516.472,대규모점포
1102,대규모점포,08_25_01_P,5380000,2.01554E+18,20151013,,1,영업/정상,1,정상영업,,,,,02-2006-3053,272.16,,,"경상남도 양산시 양주로 156, 123동 101호 (중부동, 대동황토방아파트)",50625,GS더프레시 양산중부점,2.02203E+13,U,40:00.0,구분없음,384840.1068,206210.1961,준대규모점포
1103,대규모점포,08_25_01_P,5310000,1.99553E+18,19951018,,1,영업/정상,1,정상영업,,,,,055-748-0640,3120,,경상남도 진주시 평거동 301-1 한보하이타운,"경상남도 진주시 순환로553번길 7 (평거동, 한보하이타운)",52678,평거한보하이타운상가,2.02008E+13,U,40:00.0,그 밖의 대규모점포,296424.9232,186452.5986,대규모점포
1104,대규모점포,08_25_01_P,5310000,1.99653E+18,19961211,,1,영업/정상,1,정상영업,,,,,0591 7467474,,,경상남도 진주시 상대동 304번지 4   호,,,상대동한보아파트단지내상가시장,2.00706E+13,I,59:59.0,그 밖의 대규모점포,,,
1105,대규모점포,08_25_01_P,5310000,1.99753E+18,20140918,,1,영업/정상,1,정상영업,,,,,055 7580959,5845,,경상남도 진주시 하대동 315호,경상남도 진주시 도동로 251 (하대동),660993,삼전프라자상가,2.02111E+13,U,40:00.0,쇼핑센터,302039.9423,188748.7843,대규모점포
1106,대규모점포,08_25_01_P,5310000,2.00453E+18,20120423,,1,영업/정상,1,정상영업,,,,,055  7911000,23584.44,660725,경상남도 진주시 평안동 195번지 한화갤러리아백화점,경상남도 진주시 진주대로 1095 (평안동),660725,갤러리아백화점 진주점,2.01307E+13,I,59:59.0,백화점,298496.2442,189144.0447,대규모점포
1107,대규모점포,08_25_01_P,5310000,2.00553E+18,20200429,,1,영업/정상,1,정상영업,,,,,055 749 1052,11028,660020,경상남도 진주시 인사동 3번지,경상남도 진주시 진양호로 477 (인사동),660020,(주)이마트 진주점,2.02004E+13,U,40:00.0,대형마트,298054.5275,188573.552,대규모점포
1108,대규모점포,08_25_01_P,5310000,2.00753E+18,20070531,,1,영업/정상,1,정상영업,,,,,055-771-8000,10708.3,,경상남도 진주시 상대동 181번지 1   호,경상남도 진주시 대신로 181-1 (하대동),660993,홈플러스 진주점,2.01111E+13,I,59:59.0,대형마트,301729.0211,188168.8153,대규모점포
1109,대규모점포,08_25_01_P,5310000,2.01253E+18,20141229,,1,영업/정상,1,정상영업,,,,,055-791-1000,23584,,경상남도 진주시 평안동 195번지 한화갤러리아백화점,"경상남도 진주시 진주대로 1095, 한화갤러리아백화점 (평안동)",52683,한화솔루션(주) 갤러리아 진주점,2.02105E+13,U,40:00.0,백화점,298496.2442,189144.0447,대규모점포
1110,대규모점포,08_25_01_P,5310000,2.01253E+18,20120509,,1,영업/정상,1,정상영업,,,,,,260,,경상남도 진주시 신안동 582-8,경상남도 진주시 진양호로 270 (신안동),52697,홈플러스(주)익스프레스 신안점,2.02106E+13,U,40:00.0,구분없음,296831.4698,187012.515,준대규모점포
1111,대규모점포,08_25_01_P,5310000,2.01253E+18,20120613,,1,영업/정상,1,정상영업,,,,,055-762-3756,186.8,660290,경상남도 진주시 주약동 156번지 5호,경상남도 진주시 진주대로 847 (주약동),,롯데쇼핑(주) 롯데슈퍼 주약가맹점,2.01503E+13,I,59:59.0,구분없음,299405.4669,186883.4487,준대규모점포
1112,대규모점포,08_25_01_P,5310000,2.01253E+18,20120613,,1,영업/정상,1,정상영업,,,,,055-761-4977,382.5,660844,경상남도 진주시 문산읍 삼곡리 1279번지 1호,경상남도 진주시 문산읍 월아산로 1080,,롯데쇼핑(주) 롯데슈퍼문산가맹점,2.01503E+13,I,59:59.0,구분없음,305904.3467,185966.4395,준대규모점포
1113,대규모점포,08_25_01_P,5310000,2.01453E+18,20000829,,1,영업/정상,1,정상영업,,,,,055-749-1234,10370,,,경상남도 진주시 진양호로 477-0 (인사동),660020,(주)이마트 진주점,2.01503E+13,I,59:59.0,대형마트,298054.5275,188573.552,대규모점포
1114,대규모점포,08_25_01_P,5310000,2.01453E+18,20140717,,1,영업/정상,1,정상영업,,,,,051-330-2553,9081,,경상남도 진주시 평거동 921 탑마트 진주평거점,"경상남도 진주시 새평거로 136, 탑마트 진주평거점 (평거동)",52703,(주)서원유통 탑마트 서진주점,2.02207E+13,U,40:00.0,쇼핑센터,296667.5819,186203.86,대규모점포
1115,대규모점포,08_25_01_P,5310000,2.01453E+18,20140904,,1,영업/정상,1,정상영업,,,,,055-923-1191,13693,660822,경상남도 진주시 정촌면 예하리 1276번지 1호,경상남도 진주시 정촌면 삼일로95번길 46,660822,모다아울렛 진주1호점,2.02112E+13,U,40:00.0,전문점,300045.7553,182016.0592,대규모점포
1116,대규모점포,08_25_01_P,5310000,2.01453E+18,20140904,,1,영업/정상,1,정상영업,,,,,055-923-1100,4803.48,660822,경상남도 진주시 정촌면 예하리 1277번지 3호,경상남도 진주시 정촌면 삼일로105번길 15,660822,모다아울렛 진주2호점,2.02105E+13,U,40:00.0,전문점,300034.5482,181822.4249,대규모점포
1117,대규모점포,08_25_01_P,5310000,2.01553E+18,20150616,,1,영업/정상,1,정상영업,,,,,02-2118-6903,34629.63,,경상남도 진주시 충무공동 35번지,경상남도 진주시 동진로 440 (충무공동),52851,롯데몰 진주점,2.01704E+13,I,59:59.0,복합쇼핑몰,303762.5593,187362.8504,대규모점포
1118,대규모점포,08_25_01_P,5310000,2.01653E+18,20160401,,1,영업/정상,1,정상영업,,,,,02-2006-3059,234.55,,경상남도 진주시 신안동 581번지 1호,경상남도 진주시 진양호로 302 (신안동),52697,(주)지에스리테일 진주신안점,2.0191E+13,U,40:00.0,구분없음,296992.1757,187280.49,준대규모점포
1119,대규모점포,08_25_01_P,3340000,2.00033E+18,19831109,,1,영업/정상,1,정상영업,,,,,5102913347,1809,,부산광역시 사하구 괴정동 740-1호,부산광역시 사하구 낙동대로 261 (괴정동),604855,자유종합상가,2.01402E+13,I,59:59.0,그 밖의 대규모점포,381263.4758,179570.8164,대규모점포
1120,대규모점포,08_25_01_P,3290000,2.01133E+18,20110224,,1,영업/정상,1,정상영업,,,,,"051-932-5013,5006-8",22124,614032,부산광역시 부산진구 부전2동 537번지 9호,부산광역시 부산진구 중앙대로666번길 50 (부전동),614846,롯데쇼핑(주)센트럴스퀘어점,2.02205E+13,U,40:00.0,그 밖의 대규모점포,387748.383,185533.4374,대규모점포
1121,대규모점포,08_25_01_P,3490000,1.97135E+18,19710129,,1,영업/정상,1,정상영업,,,,,032 7735938,,,인천광역시 중구 인현동 1호,,,(합)구지하자유시장,2.00706E+13,I,59:59.0,그 밖의 대규모점포,,,
1122,대규모점포,08_25_01_P,3490000,1.97435E+18,19741202,,1,영업/정상,1,정상영업,,,,,032-762-8011,0,,인천광역시 중구 인현동 1호,인천광역시 중구 참외전로 지하 123 (인현동),400180,동인천지하아케이트,2.01312E+13,I,59:59.0,그 밖의 대규모점포,167318.2883,441550.1667,대규모점포
1123,대규모점포,08_25_01_P,3490000,1.97835E+18,19780323,,1,영업/정상,1,정상영업,,,,,032 7728678,1847,,인천광역시 중구 인현동 1호,인천광역시 중구 참외전로 지하 123 (인현동),400180,중앙로지하상가,2.01312E+13,I,59:59.0,그 밖의 대규모점포,167318.2883,441550.1667,대규모점포
1124,대규모점포,08_25_01_P,3490000,1.98135E+18,19811019,,1,영업/정상,1,정상영업,,,,,032-888-4241,7626.2,400037,인천광역시 중구 항동7가 27번지 69호,인천광역시 중구 연안부두로33번길 37 (항동7가),,인천종합어시장사업협동조합,2.02005E+13,U,40:00.0,시장,165118.169,439179.6557,대규모점포
1125,대규모점포,08_25_01_P,3490000,1.98235E+18,19820421,,1,영업/정상,1,정상영업,,,,,032 773 0063,1315,400180,인천광역시 중구 인현동 1번지,인천광역시 중구 참외전로 지하 123 (인현동),400180,인현지하상가,2.01312E+13,I,59:59.0,그 밖의 대규모점포,167318.2883,441550.1667,대규모점포
1126,대규모점포,08_25_01_P,3490000,1.99535E+18,19950817,,1,영업/정상,1,정상영업,,,,,032 883 1213,606.26,,인천광역시 중구 선화동 1번지 10호,인천광역시 중구 서해대로464번길 10 (선화동),22329,신흥시장,2.01808E+13,I,59:59.0,시장,167762.914,440598.4403,준대규모점포
1127,대규모점포,08_25_01_P,3490000,2.00135E+18,20010106,,1,영업/정상,1,정상영업,,,,,032-451-1053,10337,,인천광역시 중구 신생동 38호,인천광역시 중구 인중로 134 (신생동),,(주)이마트  동인천점,2.02105E+13,U,40:00.0,대형마트,167064.2834,440556.2813,대규모점포
1128,대규모점포,08_25_01_P,3490000,2.00535E+18,20050425,,1,영업/정상,1,정상영업,,,,,032 743 9000,26359.24,,인천광역시 중구 운서동 2850번지 국제업무단지 씨블럭,"인천광역시 중구 공항로424번길 47 (운서동,국제업무단지 씨블럭)",,주식회사 에어포트로얄프라자,2.0111E+13,I,59:59.0,쇼핑센터,152264.5708,437746.1699,
1129,대규모점포,08_25_01_P,3490000,2.00735E+18,20070102,,1,영업/정상,1,정상영업,,,,,032 746 2501,8621.42,,인천광역시 중구 운서동 2803번지 2호,인천광역시 중구 흰바위로 51 (운서동),,롯데쇼핑(주)롯데마트 영종도점,2.02204E+13,U,40:00.0,대형마트,154937.3139,443507.4161,대규모점포
1130,대규모점포,08_25_01_P,3530000,2.00035E+18,19701104,,1,영업/정상,1,정상영업,,,,,032 4220401,418,,인천광역시 남동구 간석동 224호,인천광역시 남동구 백범로 312-44 (간석동),405815,간석자유시장,2.01312E+13,I,59:59.0,그 밖의 대규모점포,174722.4517,440258.8238,대규모점포
1131,대규모점포,08_25_01_P,3530000,2.00035E+18,19800627,,1,영업/정상,1,정상영업,,,,,032 4270950,,,인천광역시 남동구 간석동 313번지 1호,,,석천종합시장,2.00707E+13,I,59:59.0,그 밖의 대규모점포,174013.797,440268.0678,
1132,대규모점포,08_25_01_P,3530000,2.00035E+18,19800929,,1,영업/정상,1,정상영업,,,,,032 4225127,,,인천광역시 남동구 간석동 195번지 1호,인천광역시 남동구 석산로 159 (간석동),,신사상가,2.00707E+13,I,59:59.0,그 밖의 대규모점포,174251.6045,439885.2788,
1133,대규모점포,08_25_01_P,3530000,2.00035E+18,19810618,,1,영업/정상,1,정상영업,,,,,032 4696108,,,인천광역시 남동구 구월동 8번지 2호,,,구월종합상가(주),2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
1134,대규모점포,08_25_01_P,3530000,2.00035E+18,19810713,,1,영업/정상,1,정상영업,,,,,032 4715131,,,인천광역시 남동구 구월동 8번지 2호,,,만수종합쇼핑,2.00707E+13,I,59:59.0,쇼핑센터,,,
1135,대규모점포,08_25_01_P,3530000,2.00035E+18,19810730,,1,영업/정상,1,정상영업,,,,,032 4396696,435,,인천광역시 남동구 간석동 194호,인천광역시 남동구 석산로 167 (간석동),405803,동서종합시장,2.01312E+13,I,59:59.0,그 밖의 대규모점포,174324.9749,439886.2585,준대규모점포
1136,대규모점포,08_25_01_P,3530000,2.00035E+18,19900414,,1,영업/정상,1,정상영업,,,,,032 4627004,1.25,,인천광역시 남동구 만수동 878호,인천광역시 남동구 만경로28번길 24 (만수동),,만수중앙시장,2.0121E+13,I,59:59.0,그 밖의 대규모점포,175879.4907,439475.3302,대규모점포
1137,대규모점포,08_25_01_P,3530000,2.00035E+18,19901112,,1,영업/정상,1,정상영업,,,,,032 4389202,991,,인천광역시 남동구 간석동 611번지 8   호,인천광역시 남동구 석정로565번길 20-4 (간석동),405810,간석종합시장,2.01312E+13,I,59:59.0,그 밖의 대규모점포,173223.9758,440622.8124,준대규모점포
1138,대규모점포,08_25_01_P,3530000,2.00035E+18,19920108,,1,영업/정상,1,정상영업,,,,,032 4282828,3.02,,인천광역시 남동구 간석동 229번지 1   호,인천광역시 남동구 동암남로26번길 39 (간석동),405806,청실프라자,2.01312E+13,I,59:59.0,그 밖의 대규모점포,173946.3234,440801.4171,준대규모점포
1139,대규모점포,08_25_01_P,3530000,2.00035E+18,19940316,,1,영업/정상,1,정상영업,,,,,032 4380333,786,,인천광역시 남동구 간석동 313번지 2   호,인천광역시 남동구 남동대로915번길 25 (간석동),405807,형진프라자,2.01312E+13,I,59:59.0,그 밖의 대규모점포,173968.4671,440277.3535,준대규모점포
1140,대규모점포,08_25_01_P,3530000,2.00035E+18,19971203,,1,영업/정상,1,정상영업,,20070203,20070312,20070313,032 428 2080,12117.34,,인천광역시 남동구 구월동 1130호,인천광역시 남동구 예술로 198 (구월동),405835,홈플러스(주)구월점,2.02106E+13,U,40:00.0,복합쇼핑몰,173552.3106,438905.868,대규모점포
1141,대규모점포,08_25_01_P,3530000,2.00035E+18,20100324,,1,영업/정상,1,정상영업,,,,,032 8191345,3269.88,,인천광역시 남동구 논현동 450호,인천광역시 남동구 남동서로 226 (논현동),,공장용품상가,2.0141E+13,I,59:59.0,그 밖의 대규모점포,172845.9806,434224.3221,대규모점포
1142,대규모점포,08_25_01_P,3530000,2.00035E+18,19950705,,1,영업/정상,1,정상영업,,,,,032 8167133,5.16,,"인천광역시 남동구 고잔동 630,631호",인천광역시 남동구 은청로 4-7 (고잔동),405817,남동공단산업용품상가,2.01312E+13,I,59:59.0,그 밖의 대규모점포,172797.1226,433931.1853,대규모점포
1143,대규모점포,08_25_01_P,3530000,2.00035E+18,19950718,,1,영업/정상,1,정상영업,,,,,032 8172712,0,,인천광역시 남동구 고잔동 447번지 1   호,인천광역시 남동구 남동대로239번길 68 (논현동),405849,남동후생시설,2.01312E+13,I,59:59.0,그 밖의 대규모점포,173010.4709,434072.0075,준대규모점포
1144,대규모점포,08_25_01_P,3530000,2.00435E+18,20041001,,1,영업/정상,1,정상영업,,,,,032 430 5000,29033.02,,인천광역시 남동구 구월동 1465번지 1호,인천광역시 남동구 인하로 485 (구월동),,뉴코아아울렛인천점,2.02205E+13,U,40:00.0,복합쇼핑몰,173449.2653,438055.7187,대규모점포
1145,대규모점포,08_25_01_P,3530000,2.00435E+18,20041227,,1,영업/정상,1,정상영업,,,,,032 434 1234,15746.86,,인천광역시 남동구 간석동 205번지 1호,인천광역시 남동구 남동대로 880 (간석동),,(주)동보올리브백화점,2.01705E+13,I,59:59.0,백화점,174172.5213,439905.781,대규모점포
1146,대규모점포,08_25_01_P,3530000,2.00935E+18,20130603,,1,영업/정상,1,정상영업,,,,,032 870 8124,32550.72,405230,인천광역시 남동구 간석동 616번지 3호 외 2필지,"인천광역시 남동구 경원대로 971 (간석동,외 2필지)",,홈플러스(주) 간석점,2.02106E+13,U,40:00.0,대형마트,172419.7437,440865.6349,대규모점포
1147,대규모점포,08_25_01_P,3530000,2.01035E+18,20100624,,1,영업/정상,1,정상영업,,,,,032 454 8100,8147.48,405300,인천광역시 남동구 논현동 650번지 1호,인천광역시 남동구 청능대로 596 (논현동),,뉴코아 인천논현점,2.02205E+13,U,40:00.0,복합쇼핑몰,175633.8831,433196.4532,대규모점포
1148,대규모점포,08_25_01_P,3530000,2.01035E+18,20130603,,1,영업/정상,1,정상영업,,,,,032 455 8121,17949.92,405825,인천광역시 남동구 논현동 650번지 1호,인천광역시 남동구 청능대로 596 (논현동),,홈플러스(주) 인천논현점,2.02106E+13,U,40:00.0,쇼핑센터,175633.8831,433196.4532,대규모점포
1149,대규모점포,08_25_01_P,3530000,2.01135E+18,20110812,,1,영업/정상,1,정상영업,,,,,032 461 3417,356.08,405854,인천광역시 남동구 만수4동 18번지 제가동 제121호 제207호 제109호 제119호,"인천광역시 남동구 만수로50번길 53 (만수동,제가동 제121호 제207호 제109호 제119호)",,(주)지에스리테일 만수점,2.01707E+13,I,59:59.0,구분없음,176600.6483,439685.9686,준대규모점포
1150,대규모점포,08_25_01_P,3530000,2.01135E+18,20110916,,1,영업/정상,1,정상영업,,,,,032 710 5300,639,,인천광역시 남동구 구월동 23번지 힐캐슬프라자,"인천광역시 남동구 구월로 212, 힐캐슬프라자 지하층 (구월동)",21561,(주)지에스리테일 구월점,2.02001E+13,U,40:00.0,구분없음,174431.4971,439194.3068,준대규모점포
1151,대규모점포,08_25_01_P,3530000,2.01135E+18,20110923,,1,영업/정상,1,정상영업,,,,,032-421-7100,12219.02,405825,인천광역시 남동구 논현동 680번지 1호,인천광역시 남동구 소래역로 12 (논현동),,소래포구종합어시장,2.01809E+13,U,59:59.0,그 밖의 대규모점포,176653.9822,432995.635,대규모점포
1152,대규모점포,08_25_01_P,3530000,2.01135E+18,20130603,,1,영업/정상,1,정상영업,,,,,032 463 8547,232.8,405837,인천광역시 남동구 구월1동 1214번지 1호,인천광역시 남동구 구월남로 198 (구월동),,홈플러스(주)익스프레스,2.02106E+13,U,40:00.0,복합쇼핑몰,174401.0426,438978.6156,준대규모점포
1153,대규모점포,08_25_01_P,3530000,2.01235E+18,20120329,,1,영업/정상,1,정상영업,,,,,032 465 5040,299.5,405245,인천광역시 남동구 만수5동 938번지 13호,인천광역시 남동구 구월남로 341 (만수동),,롯데슈퍼 만수점,2.02003E+13,U,40:00.0,구분없음,175859.2189,438899.4054,준대규모점포
1154,대규모점포,08_25_01_P,3540000,2.00535E+18,20050530,,1,영업/정상,1,정상영업,,,,,325239992,4989.27,,인천광역시 부평구 부평동 224번지 1호,,,부평중앙지하상가,2.01512E+13,I,59:59.0,그 밖의 대규모점포,175701.2131,443745.3876,대규모점포
1155,대규모점포,08_25_01_P,3540000,2.00635E+18,20061222,,1,영업/정상,1,정상영업,,,,,032 509 2500,1606.6,,인천광역시 부평구 산곡동 159-52 롯데마트 부평점,"인천광역시 부평구 마장로 296, 롯데마트 부평점 (산곡동)",21362,롯데쇼핑(주)롯데마트부평점,2.02205E+13,U,40:00.0,대형마트,173767.4262,444794.44,대규모점포
1156,대규모점포,08_25_01_P,3540000,2.00735E+18,20141001,,1,영업/정상,1,정상영업,,,,,324522812,18601.4,,인천광역시 부평구 부평동 70번지 127호,"인천광역시 부평구 부평문화로 35 (부평동, 롯데백화점)",21387,롯데백화점 부평점,2.01706E+13,I,59:59.0,백화점,175119.8723,443502.3182,대규모점포
1157,대규모점포,08_25_01_P,3540000,2.00735E+18,20141001,,1,영업/정상,1,정상영업,,,,,032-363-2500,15652.92,,인천광역시 부평구 삼산동 465번지 1호,"인천광역시 부평구 길주로 623 (삼산동, 대덕리치아노)",21344,롯데쇼핑(주)롯데마트 삼산점,2.02002E+13,U,40:00.0,대형마트,176238.6248,445107.9248,대규모점포
1158,대규모점포,08_25_01_P,3540000,2.00735E+18,20071220,,1,영업/정상,1,정상영업,,,,,363-2500,15652.92,,인천광역시 부평구 삼산동 465-1 대덕리치아노,"인천광역시 부평구 길주로 623, 대덕리치아노 (삼산동)",21344,롯데쇼핑(주)롯데마트삼산점,2.02205E+13,U,40:00.0,대형마트,176238.6248,445107.9248,대규모점포
1159,대규모점포,08_25_01_P,3540000,2.00835E+18,20080219,,1,영업/정상,1,정상영업,,,,,032-506-7766,3209,403010,인천광역시 부평구 부평동 224번지 1호,,,시장로타리 지하상가,2.01512E+13,I,59:59.0,그 밖의 대규모점포,175701.2131,443745.3876,대규모점포
1160,대규모점포,08_25_01_P,3540000,2.00935E+18,20041216,,1,영업/정상,1,정상영업,,,,,3635407,10506.81,403020,인천광역시 부평구 산곡동 311번지 151호,,,(주)이랜드리테일,2.01009E+13,I,59:59.0,쇼핑센터,174296.5833,443196.9838,
1161,대규모점포,08_25_01_P,3540000,2.01235E+18,20120306,,1,영업/정상,1,정상영업,,,,,032-521-8545,185.5,,인천광역시 부평구 부개동 210번지 송신빌딩,인천광역시 부평구 부일로 87 (부개동),21401,홈플러스 익스프레스 부개역점,2.02106E+13,U,40:00.0,그 밖의 대규모점포,176907.46,443010.1094,준대규모점포
1162,대규모점포,08_25_01_P,3540000,2.01435E+18,20141015,,1,영업/정상,1,정상영업,,,,,454-2520,8695,403011,인천광역시 부평구 부평동 16번지,인천광역시 부평구 광장로 16-0 (부평동),403011,롯데쇼핑(주)롯데마트 부평역점,2.02112E+13,U,40:00.0,대형마트,175701.2131,443745.3876,대규모점포
1163,대규모점포,08_25_01_P,3540000,2.01435E+18,20140701,,1,영업/정상,1,정상영업,,,,,509-2524,13763,,,"인천광역시 부평구 마장로 296-0 (산곡동, 롯데마트 부평점)",21362,롯데쇼핑(주)롯데마트 부평점,2.02002E+13,U,40:00.0,대형마트,173767.4262,444794.44,대규모점포
1164,대규모점포,08_25_01_P,3540000,2.01435E+18,20141001,,1,영업/정상,1,정상영업,,,,,02-2073-5111,18601.4,,인천광역시 부평구 부평동 70번지 127호,인천광역시 부평구 부평문화로 35 (부평동),21387,모다이노칩 부평점,2.01907E+13,U,40:00.0,백화점,175119.8723,443502.3182,대규모점포
